k,accuracy,fscore,precision,recall
1,0.4104665825977301,0.23890366139572847,0.16848281542945923,0.4104665825977301
2,0.4104665825977301,0.23890366139572847,0.16848281542945923,0.4104665825977301
3,0.4104665825977301,0.23890366139572847,0.16848281542945923,0.4104665825977301
4,0.4104665825977301,0.23890366139572847,0.16848281542945923,0.4104665825977301
5,0.4104665825977301,0.23890366139572847,0.16848281542945923,0.4104665825977301
6,0.4104665825977301,0.23890366139572847,0.16848281542945923,0.4104665825977301
7,0.4104665825977301,0.23890366139572847,0.16848281542945923,0.4104665825977301
8,0.4114123581336696,0.2832819539075621,0.32396369514354295,0.4114123581336696
9,0.4156683480453972,0.33731350769107377,0.3505055366016991,0.4156683480453972
10,0.4235498108448928,0.27036648903826377,0.3918476356979903,0.4235498108448928
11,0.411105852658148,0.32023864878201985,0.32564316025728346,0.411105852658148
12,0.4346590909090909,0.30166254274344095,0.35262430327591127,0.4346590909090909
13,0.44419889502762433,0.32726507119119064,0.37294565574840494,0.44419889502762433
14,0.45118483412322274,0.34851914777061804,0.3763457901842673,0.45118483412322274
15,0.4604805564337654,0.3635633388101635,0.39161672345044696,0.4604805564337654
16,0.5129705789307182,0.433902483640495,0.4926718361213163,0.5129705789307182
17,0.5182655654383735,0.43621137640120333,0.5127704409273239,0.5182655654383735
18,0.5452377166481157,0.46891163659367174,0.557448566723713,0.5452377166481157
19,0.5793597865955319,0.5074706820249413,0.5618991281744478,0.5793597865955319
20,0.6107100889709586,0.5461172204920627,0.5841267721033342,0.6107100889709586
21,0.6326810847923103,0.570354117371316,0.5900951197644757,0.6326810847923103
22,0.6533069734004313,0.5888344127180563,0.586131714061574,0.6533069734004313
23,0.6676669167291823,0.6008882019482562,0.588899558224307,0.6676669167291823
24,0.6825274513581199,0.6148365047092508,0.5914811287218454,0.6825274513581199
25,0.6871053167651253,0.6175324444119099,0.7645335017754764,0.6871053167651253
26,0.6886812486727543,0.6163996647217851,0.764401494209783,0.6886812486727543
27,0.6837874050915588,0.6103546307128006,0.7617152743417354,0.6837874050915588
28,0.67981220657277,0.6031236734729074,0.7608948324015772,0.67981220657277
29,0.6871467190956009,0.6204009160999747,0.7659840190797904,0.6871467190956009
30,0.6872258064516129,0.6205401633794241,0.7668360702779542,0.6872258064516129
31,0.6925357046618162,0.6323223207039514,0.7722746948770416,0.6925357046618162
32,0.7010777084515031,0.6440775617130716,0.7768448718884096,0.7010777084515031
33,0.7191439460568748,0.672489443013846,0.7872542058957261,0.7191439460568748
34,0.7257474069554607,0.6807792837127241,0.7912892040300561,0.7257474069554607
35,0.7309160305343512,0.6837186416556212,0.7945028488308986,0.7309160305343512
36,0.7300572197913161,0.6777101549972019,0.7938467764751291,0.7300572197913161
37,0.735045742434905,0.6833008821737384,0.7976475649795569,0.735045742434905
38,0.7378497790868925,0.6857884991613427,0.7986726282701624,0.7378497790868925
39,0.7397841171935235,0.689731123830679,0.8011791040019374,0.7397841171935235
40,0.7398042414355628,0.6889385524951677,0.8019643287525939,0.7398042414355628
41,0.7434238896075894,0.695316290770463,0.8053072999733504,0.7434238896075894
42,0.7461328480436761,0.6990511362356349,0.8084608086091154,0.7461328480436761
43,0.7423876268728854,0.6942581706735189,0.8069525350535524,0.7423876268728854
44,0.7420020639834881,0.6944393658450729,0.8069457196164921,0.7420020639834881
45,0.7460142935678944,0.7035674689029758,0.808391869958176,0.7460142935678944
46,0.751603498542274,0.7134907716552282,0.8117667923457105,0.751603498542274
47,0.74875,0.709143292131234,0.808776825407517,0.74875
48,0.7494963062458025,0.708465088338088,0.8098295889376216,0.7494963062458025
49,0.7496413199426112,0.7050228784272664,0.8116452738362189,0.7496413199426112
50,0.7539742619227857,0.7125157228878533,0.8154523919709881,0.7539742619227857
51,0.7640901771336553,0.7278402652565922,0.8211289363679067,0.7640901771336553
52,0.7736170212765957,0.7387845459363966,0.8269797806264042,0.7736170212765957
53,0.7714808043875686,0.7367082345924245,0.8244219683826991,0.7714808043875686
54,0.7708129285014691,0.7292799949052281,0.8229202099904643,0.7708129285014691
55,0.7767195767195767,0.7364963655647754,0.8259615839116736,0.7767195767195767
56,0.776878612716763,0.7400955049445054,0.8250214076082738,0.776878612716763
57,0.7802746566791511,0.7445732908967659,0.8263239467746063,0.7802746566791511
58,0.7819148936170213,0.7481547830307534,0.8261679017916694,0.7819148936170213
59,0.7798561151079136,0.7421075334809684,0.8239080645595883,0.7798561151079136
60,0.7841614906832298,0.7481217888579329,0.8179943439852031,0.7841614906832298
61,0.7736486486486487,0.7320882972598552,0.8164415195307644,0.7736486486486487
62,0.7741347905282332,0.7332879937991905,0.8249639380911457,0.7741347905282332
63,0.7777777777777778,0.7420751629341203,0.8246471139838369,0.7777777777777778
64,0.783157894736842,0.7535603342766621,0.8220565772665054,0.783157894736842
65,0.7844444444444445,0.7496383768432818,0.8279340169105885,0.7844444444444445
66,0.779126213592233,0.7373692957306319,0.8242117688257741,0.779126213592233
67,0.7871794871794872,0.746335390992501,0.824689422965285,0.7871794871794872
68,0.7938718662952646,0.7626458044797995,0.8191469763924086,0.7938718662952646
69,0.8147058823529412,0.7899417313363487,0.8466563602156598,0.8147058823529412
70,0.8170347003154574,0.7950609149029991,0.8413299283961744,0.8170347003154574
71,0.825938566552901,0.8058716748416295,0.845920921888252,0.825938566552901
72,0.8388278388278388,0.8195170741792288,0.8627283709511827,0.8388278388278388
73,0.8458498023715415,0.8264013129001687,0.8643231575701511,0.8458498023715415
74,0.8454935622317596,0.8240018611729751,0.8625599274863763,0.8454935622317596
75,0.8440366972477065,0.8172510737036731,0.8632582439851147,0.8440366972477065
76,0.8374384236453202,0.8120584977952608,0.8548206206126935,0.8374384236453202
77,0.842391304347826,0.8216496290545203,0.860423954689322,0.842391304347826
78,0.8488372093023255,0.8310524353749835,0.8695540495149277,0.8488372093023255
79,0.832258064516129,0.8064329935297678,0.8546004166723404,0.832258064516129
80,0.823943661971831,0.7884926383803975,0.8494720323772882,0.823943661971831
81,0.8345864661654135,0.8071199183435736,0.8596146815241061,0.8345864661654135
82,0.8442622950819673,0.8190285331093944,0.8761008417145962,0.8442622950819673
83,0.8521739130434782,0.8378751683099509,0.8824052885837783,0.8521739130434782
84,0.8558558558558559,0.8416988416988417,0.8906744582420258,0.8558558558558559
85,0.8349514563106796,0.8085079202861523,0.8805443216398151,0.8349514563106796
86,0.8297872340425532,0.8055530405915196,0.8822450476889215,0.8297872340425532
87,0.8235294117647058,0.7932263814616756,0.8758169934640523,0.8235294117647058
88,0.8452380952380952,0.8226946966077401,0.8855363984674328,0.8452380952380952
89,0.8461538461538461,0.8304953304953306,0.8835928222720676,0.8461538461538461
90,0.8378378378378378,0.8208797032326445,0.8893178893178894,0.8378378378378378
91,0.8142857142857143,0.8021645021645022,0.8642857142857143,0.8142857142857143
92,0.8,0.789010989010989,0.8180995475113122,0.8
93,0.8166666666666667,0.824614342297269,0.8458333333333333,0.8166666666666667
94,0.8269230769230769,0.8284510010537408,0.8584401709401709,0.8269230769230769
95,0.8297872340425532,0.8328707986432315,0.8589486858573215,0.8297872340425532
96,0.8181818181818182,0.8264216843762299,0.8484848484848485,0.8181818181818182
97,0.775,0.78008658008658,0.7884792626728111,0.775
98,0.8205128205128205,0.8341014177079751,0.9002442002442002,0.8205128205128205
99,0.8918918918918919,0.8786074209803022,0.9198198198198198,0.8918918918918919
100,0.8484848484848485,0.8418732782369146,0.9004329004329005,0.8484848484848485
101,0.8333333333333334,0.8096138691883373,0.7880555555555556,0.8333333333333334
102,0.8333333333333334,0.806060606060606,0.7904761904761906,0.8333333333333334
103,0.8928571428571429,0.8813676633444076,0.9087662337662338,0.8928571428571429
104,0.8148148148148148,0.8079393756900531,0.8405643738977072,0.8148148148148148
105,0.8148148148148148,0.8079393756900531,0.8405643738977072,0.8148148148148148
106,0.8333333333333334,0.793859649122807,0.7583333333333333,0.8333333333333334
107,0.8260869565217391,0.7850241545893719,0.7482837528604118,0.8260869565217391
108,0.8181818181818182,0.7909090909090909,0.7727272727272727,0.8181818181818182
109,0.8636363636363636,0.8264462809917354,0.7935828877005346,0.8636363636363636
110,0.8095238095238095,0.7809523809523808,0.7619047619047619,0.8095238095238095
111,0.8095238095238095,0.7809523809523808,0.7619047619047619,0.8095238095238095
112,0.8,0.7833333333333333,0.77,0.8
113,0.6842105263157895,0.6385964912280702,0.5986842105263158,0.6842105263157895
114,0.75,0.6927083333333333,0.6442307692307693,0.75
115,0.875,0.8659420289855073,0.8802083333333333,0.875
116,0.7333333333333333,0.6857142857142858,0.6454545454545454,0.7333333333333333
117,0.8666666666666667,0.8571428571428572,0.8727272727272727,0.8666666666666667
118,0.7692307692307693,0.741880341880342,0.7615384615384616,0.7692307692307693
119,0.8333333333333334,0.8222222222222223,0.84375,0.8333333333333334
120,0.8,0.7642857142857142,0.85,0.8
121,0.75,0.6874999999999999,0.6964285714285714,0.75
122,0.75,0.6931818181818181,0.6458333333333334,0.75
123,0.75,0.6931818181818181,0.6458333333333334,0.75
124,0.625,0.5208333333333333,0.44642857142857145,0.625
125,0.7142857142857143,0.6507936507936508,0.6,0.7142857142857143
126,1.0,1.0,1.0,1.0
127,1.0,1.0,1.0,1.0
128,1.0,1.0,1.0,1.0
129,1.0,1.0,1.0,1.0
130,0.8,0.7111111111111111,0.64,0.8
131,0.8,0.7111111111111111,0.64,0.8
132,1.0,1.0,1.0,1.0
133,1.0,1.0,1.0,1.0
134,1.0,1.0,1.0,1.0
135,1.0,1.0,1.0,1.0
136,1.0,1.0,1.0,1.0
137,1.0,1.0,1.0,1.0
138,1.0,1.0,1.0,1.0
139,1.0,1.0,1.0,1.0
140,1.0,1.0,1.0,1.0
141,1.0,1.0,1.0,1.0
142,1.0,1.0,1.0,1.0
143,1.0,1.0,1.0,1.0
144,1.0,1.0,1.0,1.0
145,1.0,1.0,1.0,1.0
146,1.0,1.0,1.0,1.0
147,1.0,1.0,1.0,1.0
148,1.0,1.0,1.0,1.0
180,1.0,0.7253873022682824,0.7647265715416557,0.7682021092191722
